Year,Round,TrackID,DriverID,TeamID,DriverTeamID,QualifyingPosition,ChampionshipStanding,ChampionshipPoints,Points,RecentFormPoints,RecentQualiPos,RecentFinishPos,FinishingPosition
2023,3,Melbourne,TSU,AlphaTauri,TSU_AlphaTauri,12.0,14.0,0.0,1.0,0.0,15.0,11.0,10
2023,3,Melbourne,BOT,Alfa Romeo,BOT_Alfa Romeo,19.0,9.0,4.0,0.0,2.0,13.0,13.0,11
2023,3,Melbourne,SAI,Ferrari,SAI_Ferrari,5.0,4.0,20.0,0.0,10.0,4.0,5.0,12
2023,3,Melbourne,GAS,Alpine,GAS_Alpine,9.0,11.0,4.0,0.0,2.0,14.5,9.0,13
2023,3,Melbourne,OCO,Alpine,OCO_Alpine,11.0,10.0,4.0,0.0,2.0,7.5,13.0,14
2023,3,Melbourne,DEV,AlphaTauri,DEV_AlphaTauri,15.0,18.0,0.0,0.0,0.0,18.5,14.0,15
2023,3,Melbourne,SAR,Williams,SAR_Williams,18.0,16.0,0.0,0.0,0.0,18.0,14.0,16
2023,3,Melbourne,MAG,Haas F1 Team,MAG_Haas F1 Team,14.0,12.0,1.0,0.0,0.5,15.0,11.5,17
2023,3,Melbourne,RUS,Mercedes,RUS_Mercedes,2.0,6.0,18.0,0.0,9.0,4.5,5.5,18
2023,3,Melbourne,ALB,Williams,ALB_Williams,8.0,13.0,1.0,0.0,0.5,16.0,14.5,19
2023,3,Melbourne,LEC,Ferrari,LEC_Ferrari,7.0,8.0,6.0,0.0,3.0,7.5,13.0,20
2023,4,Baku,PER,Red Bull Racing,PER_Red Bull Racing,3.0,2.0,54.0,25.0,18.0,7.666666666666667,2.6666666666666665,1
2023,4,Baku,VER,Red Bull Racing,VER_Red Bull Racing,2.0,1.0,69.0,18.0,23.0,5.666666666666667,1.3333333333333333,2
2023,4,Baku,LEC,Ferrari,LEC_Ferrari,1.0,10.0,6.0,15.0,2.0,7.333333333333333,15.333333333333334,3
2023,4,Baku,ALO,Aston Martin,ALO_Aston Martin,6.0,3.0,45.0,12.0,15.0,3.6666666666666665,3.0,4
2023,4,Baku,SAI,Ferrari,SAI_Ferrari,4.0,5.0,20.0,10.0,6.666666666666667,4.333333333333333,7.333333333333333,5
2023,4,Baku,HAM,Mercedes,HAM_Mercedes,5.0,4.0,38.0,8.0,12.666666666666666,5.666666666666667,4.0,6
2023,4,Baku,STR,Aston Martin,STR_Aston Martin,9.0,6.0,20.0,6.0,6.666666666666667,6.333333333333333,10.0,7
2023,4,Baku,RUS,Mercedes,RUS_Mercedes,11.0,7.0,18.0,5.0,6.0,3.6666666666666665,9.666666666666666,8
2023,4,Baku,NOR,McLaren,NOR_McLaren,7.0,8.0,8.0,2.0,2.6666666666666665,14.333333333333334,13.333333333333334,9
2023,4,Baku,TSU,AlphaTauri,TSU_AlphaTauri,8.0,16.0,1.0,1.0,0.3333333333333333,14.0,10.666666666666666,10
2023,4,Baku,PIA,McLaren,PIA_McLaren,10.0,13.0,4.0,0.0,1.3333333333333333,14.0,14.333333333333334,11
2023,4,Baku,ALB,Williams,ALB_Williams,12.0,18.0,1.0,0.0,0.3333333333333333,13.333333333333334,16.0,12
2023,4,Baku,MAG,Haas F1 Team,MAG_Haas F1 Team,16.0,17.0,1.0,0.0,0.3333333333333333,14.666666666666666,13.333333333333334,13
2023,4,Baku,GAS,Alpine,GAS_Alpine,17.0,14.0,4.0,0.0,1.3333333333333333,12.666666666666666,10.333333333333334,14
2023,4,Baku,OCO,Alpine,OCO_Alpine,19.0,12.0,4.0,0.0,1.3333333333333333,8.666666666666666,13.333333333333334,15
2023,4,Baku,SAR,Williams,SAR_Williams,14.0,19.0,0.0,0.0,0.0,18.0,14.666666666666666,16
2023,4,Baku,HUL,Haas F1 Team,HUL_Haas F1 Team,20.0,9.0,6.0,0.0,2.0,10.0,11.333333333333334,17
2023,4,Baku,BOT,Alfa Romeo,BOT_Alfa Romeo,13.0,11.0,4.0,0.0,1.3333333333333333,15.0,12.333333333333334,18
2023,4,Baku,ZHO,Alfa Romeo,ZHO_Alfa Romeo,15.0,15.0,2.0,0.0,0.6666666666666666,13.666666666666666,12.666666666666666,19
2023,4,Baku,DEV,AlphaTauri,DEV_AlphaTauri,18.0,20.0,0.0,0.0,0.0,17.333333333333332,14.333333333333334,20
2023,5,Miami,VER,Red Bull Racing,VER_Red Bull Racing,9.0,1.0,93.0,26.0,21.75,4.75,1.5,1
2023,5,Miami,PER,Red Bull Racing,PER_Red Bull Racing,1.0,2.0,87.0,18.0,19.75,6.5,2.25,2
2023,5,Miami,ALO,Aston Martin,ALO_Aston Martin,2.0,3.0,60.0,15.0,14.25,4.25,3.25,3
2023,5,Miami,RUS,Mercedes,RUS_Mercedes,6.0,7.0,28.0,12.0,5.75,5.5,9.25,4
2023,5,Miami,SAI,Ferrari,SAI_Ferrari,3.0,5.0,34.0,10.0,7.5,4.25,6.75,5
2023,5,Miami,HAM,Mercedes,HAM_Mercedes,13.0,4.0,48.0,8.0,11.5,5.5,4.5,6
2023,5,Miami,LEC,Ferrari,LEC_Ferrari,7.0,6.0,28.0,6.0,5.25,5.75,12.25,7
2023,5,Miami,GAS,Alpine,GAS_Alpine,5.0,14.0,4.0,4.0,1.0,13.75,11.25,8
2023,5,Miami,OCO,Alpine,OCO_Alpine,8.0,13.0,4.0,2.0,1.0,11.25,13.75,9
2023,5,Miami,MAG,Haas F1 Team,MAG_Haas F1 Team,4.0,18.0,1.0,1.0,0.25,15.0,13.25,10
2023,5,Miami,TSU,AlphaTauri,TSU_AlphaTauri,17.0,16.0,2.0,0.0,0.5,12.5,10.5,11
2023,5,Miami,STR,Aston Martin,STR_Aston Martin,18.0,8.0,27.0,0.0,6.5,7.0,9.25,12
2023,5,Miami,BOT,Alfa Romeo,BOT_Alfa Romeo,10.0,12.0,4.0,0.0,1.0,14.5,13.75,13
2023,5,Miami,ALB,Williams,ALB_Williams,11.0,17.0,1.0,0.0,0.25,13.0,15.0,14
2023,5,Miami,HUL,Haas F1 Team,HUL_Haas F1 Team,12.0,10.0,6.0,0.0,1.5,12.5,12.75,15
2023,5,Miami,ZHO,Alfa Romeo,ZHO_Alfa Romeo,14.0,15.0,2.0,0.0,0.5,14.0,14.25,16
2023,5,Miami,NOR,McLaren,NOR_McLaren,16.0,9.0,10.0,0.0,2.5,12.5,12.25,17
2023,5,Miami,DEV,AlphaTauri,DEV_AlphaTauri,15.0,20.0,0.0,0.0,0.0,17.5,15.75,18
2023,5,Miami,PIA,McLaren,PIA_McLaren,19.0,11.0,4.0,0.0,1.0,13.0,13.5,19
2023,5,Miami,SAR,Williams,SAR_Williams,20.0,19.0,0.0,0.0,0.0,17.0,15.0,20
2023,6,Monaco,VER,Red Bull Racing,VER_Red Bull Racing,1.0,1.0,119.0,25.0,22.6,5.6,1.4,1
2023,6,Monaco,ALO,Aston Martin,ALO_Aston Martin,2.0,3.0,75.0,18.0,14.4,3.8,3.2,2
2023,6,Monaco,OCO,Alpine,OCO_Alpine,3.0,12.0,6.0,15.0,1.2,10.6,12.8,3
2023,6,Monaco,HAM,Mercedes,HAM_Mercedes,5.0,4.0,56.0,13.0,10.8,7.0,4.8,4
